YEAR,Car_Age,MILEAGE,CAR_PRICE
2023,0,0,72000
2022,1,3725,75998
2020,3,37276,56994
2019,4,35029,51994
2017,6,64924,33499
2016,7,51577,36599
2015,8,64100,30450
2013,12,80705,20899
2012,11,83000,20200
2005,18,75225,9995
