YEAR,Car_Age,MILEAGE,CAR_PRICE
2020,3,25293,59910
2020,3,37276,56994
2019,4,35029,51994
2020,2,23272,97995
2015,8,64100,30450
2020,3,14250,73999
2019,4,28901,50126
2020,3,24999,56106
2005,18,75225,9995
2017,5,64924,33499
